tributários	tri-bu-t#á-rios
bendegó	ben-de-g#ó
têm	t#êm
existência	e-xis-t#ên-cia
fugitiva	fu-gi-t#i-va
estações	es-ta-ç#ões
antes	#an-tes
canais	ca-n#ais
esgotamento	es-go-ta-m#en-to
rios	r#i-os
sobem	s#o-bem
enchem-se	#en-chem§-se
súbito	s#ú-bi-to
transbordam	trans-b#or-dam
reprofundam	re-pro-f#un-dam
próprio	pr#ó-prio
vaza-barris	vaza§-ba-rr#is
nascentes	nas-c#en-tes
cujo	c#u-jo
função	fun-ç#ão
agente	a-g#en-te
cortado	cor-t#a-do
fracionando-se	fra-ci-o-n#an-do§-se
onda	#on-da
tombando	tom-b#an-do
vertentes	ver-t#en-tes
imita	i-m#i-ta
misto	m#is-to
tais	t#ais
disposições	dis-po-si-ç#ões
nada	n#a-da
belos	b#e-los
denudações	de-nu-da-ç#ões
inesperado	i-nes-pe-r#a-do
quadro	qu#a-dro
esperava	es-pe-r#a-va
galgava	gal-g#a-va
topo	t#o-po
volvia	vol-v#i-a
volta	v#ol-ta
olhar	o-lh#ar
abranger	a-bran-g#er
lance	l#an-ce
divisava	di-vi-s#a-va
recordando-lhe	re-cor-d#an-do§-lhe
tinha	t#i-nha
frente	fr#en-te
antítese	an-t#í-te-se
vira	v#i-ra
estavam	es-t#a-vam
acidentes	a-ci-d#en-tes
reunião	reu-ni-#ão
tantos	t#an-tos
traços	tr#a-ços
incorretos	in-co-rr#e-tos
compreendia	com-pre-en-d#i-a
matutos	ma-t#u-tos
crendeiros	cren-d#ei-ros
arraial	a-rrai-#al
embaixo	em-b#ai-xo
erigia-se	e-ri-g#i-a§-se
vistos	v#is-tos
permeio	per-m#ei-o
elipse	e-l#ip-se
majestosa	ma-jes-t#o-sa
canabrava	ca-na-br#a-va
nordeste	nor-d#es-te
abaulado	a-b#au-la-do
vendo	v#en-do
longe	l#on-ge
nível	n#í-vel
trancando-lhe	tran-c#an-do§-lhe
planície	pla-n#í-cie
rugada	ru-g#a-da
lobrigavam	lo-bri-g#a-vam
único	#ú-ni-co
distinguia	dis-tin-g#ui-a
atravessava-a	a-tra-ve-ss#a-va§-a
torcendo-se	tor-c#en-do§-se
presa	pr#e-sa
numa	n#u-ma
dessas	d#e-ssas
voltas	v#ol-tas
via-se	v#i-a§-se
depressão	de-pre-ss#ão
atulhando-a	a-tu-lh#an-do§-a
enchendo-a	en-ch#en-do§-a
toda	t#o-da
confusos	con-f#u-sos
breves	br#e-ves
apontamentos	a-pon-ta-m#en-tos
indicados	in-di-c#a-dos
genéticas	ge-n#é-ti-cas
perene	pe-r#e-ne
conflito	con-fl#i-to
círculo	c#ír-cu-lo
abrangê-la	a-bran-g#ê§-la
modalidades	mo-da-li-d#a-des
escasseiamnos	es-ca-ssei-#am-nos
observações	ob-ser-va-ç#ões
coisas	c#oi-sas
desta	d#es-ta
nenhum	ne-nh#um
pioneiro	pi-o-n#ei-ro
ciência	ci-#ên-cia
suportou	su-por-t#ou
martius	mar-t#i-us
passou	pa-ss#ou
mira	m#i-ra
essencial	e-ssen-ci-#al
mornay	m#or-na-y
wollaston	wol-las-t#on
rompendo	rom-p#en-do
selvagem	sel-v#a-gem
desertus	de-ser-t#us
antecederam	an-te-ce-d#e-ram
sucederam	su-ce-d#e-ram
palmilharam	pal-mi-lh#a-ram
sempre	s#em-pre
evitado	e-vi-t#a-do
aquele	a-qu#e-le
segue	s#e-gue
vagas	v#a-gas
conjeturas	con-je-t#u-ras
atravessamo-lo	a-tra-ve-ss#a-mo§-lo
prelúdio	pre-l#ú-dio
ardente	ar-d#en-te
escrevemos	es-cre-v#e-mos
defeituoso	de-f#ei-tu-o-so
termômetro	ter-m#ô-me-tro
ex	#ex
proximidade	pro-xi-mi-d#a-de
montanhosas	mon-ta-nh#o-sas
insulado	in-su-l#a-do
